AU,Average,Variance,Std Dev
AU01_R,0.13275232641374374,0.033600263018216364,0.18330374523783294
AU02_R,0.07614531138153185,0.019469812031356643,0.13953426830480262
AU04_R,1.1091481746599856,0.1299681964395599,0.36051102124562
AU05_R,0.05597351467430208,0.014209596147542391,0.11920401061852907
AU06_R,1.6848067287043667,0.24282898160884367,0.492776807093073
AU07_R,2.031471009305655,0.4000112617800765,0.6324644351898978
AU09_R,0.11096993557623477,0.052821006614603795,0.22982821109385984
AU10_R,0.2429778095919828,0.1292976815697081,0.3595798681373974
AU12_R,0.20816392269148176,0.17623869707246953,0.41980792878704604
AU14_R,0.5045669291338583,0.4057455517308457,0.6369815944992804
AU15_R,0.36491052254831785,0.29844526588995246,0.5463014423282739
AU17_R,0.9792054402290622,0.7870704747860037,0.8871699244147108
AU20_R,0.18013242662848963,0.12372798102475738,0.35174988418584785
AU23_R,0.16191839656406587,0.1142796696721864,0.33805276166921994
AU25_R,0.5551682176091625,0.3816975191327332,0.6178167358794461
AU26_R,0.6264495347172513,0.3073422052933745,0.5543845283676074
AU45_R,0.2291982820329277,0.09020730546070667,0.3003453103690928
AU01_R,0.17569173492181683,0.1589861873534835,0.3987307203533276
AU02_R,0.11348175725986596,0.2130959184562503,0.46162313466316907
AU04_R,0.9050156366344007,0.10721630523654355,0.32743900994924774
AU05_R,0.07068354430379747,0.03401730153882121,0.18443779856315032
AU06_R,1.5878897989575578,0.1354439378092387,0.36802708841773957
AU07_R,1.5362442293373046,0.33867251704853835,0.5819557689795147
AU09_R,0.08789724497393893,0.04026248273741912,0.20065513384266828
AU10_R,0.4532077438570365,0.15349095996385456,0.39177922349692634
AU12_R,0.1597855547282204,0.05253900673202392,0.22921388861066844
AU14_R,0.4160610573343262,0.2007441934713275,0.4480448565393062
AU15_R,0.2432717795979151,0.17222225484096423,0.41499669256629534
AU17_R,0.5360923306031273,0.19045151366622373,0.43640750871888506
AU20_R,0.15108265078183172,0.07131293254822998,0.26704481374524014
AU23_R,0.17562025316455696,0.1340775531196857,0.36616601852122443
AU25_R,0.40816232315711093,0.15288286015307698,0.39100237870513904
AU26_R,0.5397632166790767,0.2193730895910813,0.46837281047375207
AU45_R,0.23670290394638868,0.11197134380300462,0.334621194491629
AU01_R,0.198573673870334,0.09766548337046546,0.31251477304355624
AU02_R,0.12775638506876227,0.08256026290380925,0.2873330174271819
AU04_R,0.09180550098231828,0.11198673756061554,0.3346441954682847
AU05_R,0.06838703339882123,0.0241373663871496,0.15536204937869993
AU06_R,1.1039803536345776,0.5113651322529698,0.7150979878680751
AU07_R,1.725510805500982,0.5006978427796616,0.7076000584932576
AU09_R,0.07090373280943026,0.015822881279048264,0.12578903481245202
AU10_R,0.41039882121807464,0.24349897630043768,0.4934561543850048
AU12_R,0.3632062868369352,0.15460748150890571,0.3932015787212784
AU14_R,0.10277406679764244,0.05717080569401007,0.23910417330948047
AU15_R,0.3391159135559922,0.2592587977227357,0.5091746239972449
AU17_R,0.7378939096267191,0.48303289894108836,0.6950056826681983
AU20_R,0.16361100196463654,0.08151932202473768,0.28551588751720575
AU23_R,0.1609449901768173,0.08366648744296512,0.289251598859825
AU25_R,0.7304047151277014,0.43122553866905816,0.6566776520249933
AU26_R,0.5844754420432219,0.3806320395815003,0.6169538391010306
AU45_R,0.18823968565815327,0.09273543477765712,0.30452493293268634
AU01_R,0.12067637877211237,0.024390484491200546,0.15617453214657168
AU02_R,0.09704994797086368,0.06188442124153815,0.24876579596387072
AU04_R,0.06650884495317379,0.018292698776489227,0.1352505037938463
AU05_R,0.07218002081165452,0.03311960734658988,0.18198793187074214
AU06_R,0.6592091571279917,0.3304883903794037,0.574881196752341
AU07_R,1.3023309053069718,0.34840966035618154,0.5902623656952741
AU09_R,0.06228928199791883,0.011423075043836104,0.10687878668770573
AU10_R,0.117471383975026,0.06851989116403884,0.26176304392339045
AU12_R,0.16735171696149842,0.09423228539267776,0.3069727763054531
AU14_R,0.048137356919875134,0.02338164067557166,0.15291056430335892
AU15_R,0.3119302809573361,0.19226066562084762,0.4384753877024885
AU17_R,0.5813319458896983,0.26435366487169304,0.5141533476227623
AU20_R,0.11204474505723207,0.037547456612142156,0.1937716610140455
AU23_R,0.11756503642039541,0.06458428129643282,0.25413437645551384
AU25_R,0.5641935483870968,0.38802051015096295,0.6229129234098157
AU26_R,0.453636836628512,0.20078890083912895,0.4480947453821892
AU45_R,0.1670395421436004,0.0691734799556466,0.26300851688804033
