AU,Average,Variance,Std Dev
AU01_R,0.13384704904405653,0.03212616882027279,0.17923774384953853
AU02_R,0.07842061512884456,0.02117622145722049,0.1455205190247083
AU04_R,2.1378370739817125,0.1498806718211676,0.3871442519541877
AU05_R,0.0708129675810474,0.028686053307038356,0.1693695760962941
AU06_R,0.29997173732335825,0.09658401981964498,0.31077969660137866
AU07_R,1.9123790523690776,0.3261241196808445,0.5710727796707216
AU09_R,0.07797173732335827,0.01908038829320668,0.13813177872309718
AU10_R,0.03668495428096425,0.013878965412098843,0.11780902092836033
AU12_R,0.019273482959268496,0.006247942321338877,0.07904392653037219
AU14_R,0.006563591022443891,0.0019809227513192407,0.04450755836168999
AU15_R,0.4120182876142976,0.39874713967215875,0.6314642821824198
AU17_R,0.6014314214463842,0.305308542644055,0.552547321633229
AU20_R,0.3020648379052369,0.28290518036468526,0.5318883156873117
AU23_R,0.16350124688279302,0.0829489297872711,0.2880085585312893
AU25_R,0.7204073150457191,0.5460983541865877,0.7389846779105692
AU26_R,1.1865536159600998,1.050222656544538,1.0248037161059371
AU45_R,0.1804954280964256,0.07032589351916738,0.2651902968043276
AU01_R,0.17569173492181683,0.1589861873534835,0.3987307203533276
AU02_R,0.11348175725986596,0.2130959184562503,0.46162313466316907
AU04_R,0.9050156366344007,0.10721630523654355,0.32743900994924774
AU05_R,0.07068354430379747,0.03401730153882121,0.18443779856315032
AU06_R,1.5878897989575578,0.1354439378092387,0.36802708841773957
AU07_R,1.5362442293373046,0.33867251704853835,0.5819557689795147
AU09_R,0.08789724497393893,0.04026248273741912,0.20065513384266828
AU10_R,0.4532077438570365,0.15349095996385456,0.39177922349692634
AU12_R,0.1597855547282204,0.05253900673202392,0.22921388861066844
AU14_R,0.4160610573343262,0.2007441934713275,0.4480448565393062
AU15_R,0.2432717795979151,0.17222225484096423,0.41499669256629534
AU17_R,0.5360923306031273,0.19045151366622373,0.43640750871888506
AU20_R,0.15108265078183172,0.07131293254822998,0.26704481374524014
AU23_R,0.17562025316455696,0.1340775531196857,0.36616601852122443
AU25_R,0.40816232315711093,0.15288286015307698,0.39100237870513904
AU26_R,0.5397632166790767,0.2193730895910813,0.46837281047375207
AU45_R,0.23670290394638868,0.11197134380300462,0.334621194491629
AU01_R,0.12812952534191477,0.0425793973009416,0.20634775816795686
AU02_R,0.0729646017699115,0.01971285749897616,0.1404024839487399
AU04_R,2.1738173773129525,0.20004276583070427,0.44726140659652747
AU05_R,0.04560740144810941,0.009118886448214628,0.09549286071856172
AU06_R,1.195603378921963,0.077543760535862,0.27846680329235296
AU07_R,1.9865285599356397,0.281276354717201,0.5303549327735163
AU09_R,0.045012067578439265,0.006585975709445733,0.08115402460411765
AU10_R,0.014818986323411101,0.00913290484661792,0.09556623277401867
AU12_R,0.03126709573612229,0.006552558812245961,0.08094787713242368
AU14_R,0.006194690265486725,0.0027525158027812903,0.052464424163248854
AU15_R,0.29751005631536603,0.42756518601553006,0.6538846886229484
AU17_R,0.5281456154465004,0.375506781202096,0.6127860811099547
AU20_R,0.17697506033789218,0.26807495068561,0.5177595491013275
AU23_R,0.11874899436846341,0.0532775088018052,0.2308192123758445
AU25_R,0.4286846339501207,0.1855817298804897,0.43079197982377726
AU26_R,0.3609010458567981,0.22767548557637055,0.4771535241160549
AU45_R,0.21297264682220432,0.12704769905029537,0.35643751072284097
AU01_R,0.6682330684827846,0.8224492234783553,0.9068898629262294
AU02_R,0.1662126371547484,0.15003935976454166,0.38734914452537733
AU04_R,0.5660650775633749,0.11969889356800116,0.3459752788394008
AU05_R,0.05768823306848279,0.012422624944757165,0.1114568299601113
AU06_R,1.3247219069239502,0.08698405397486339,0.2949305917921425
AU07_R,2.634074914869467,0.3127884985491506,0.5592749757937956
AU09_R,0.10503594400302686,0.03220297940398172,0.17945188604186282
AU10_R,0.2575520242149073,0.0702565713840539,0.2650595619555233
AU12_R,0.017359061672342038,0.006785225681481055,0.08237248133619052
AU14_R,0.009860007567158532,0.0062246965188492995,0.0788967459332088
AU15_R,0.1902307983352251,0.07244563179902176,0.2691572622074719
AU17_R,0.8068936814226257,0.4202146090554428,0.648239623176062
AU20_R,0.0989708664396519,0.02568940225462371,0.16027913855091594
