Type,Value,Count
Utterance,Awesome!,80
Utterance,Take it easy,73
Utterance,I can understand how you feel...,45
Utterance,"(Come on, you can do it...)",23
Utterance, thank you,21
Utterance, My pleasure! ,13
Utterance, ,12
Utterance,Great!,10
Utterance, You are welcome! ,7
Utterance, I've got it. Thank you for your order.,7
Utterance, okay,6
Utterance, May I have your name please?,5
Utterance, Here you are. Enjoy your meal! ,5
Utterance, Thank you. It's good to hear that.,4
Utterance, Sure! Please come this way.,4
Utterance, And this is the menu. Please call me when you are ready to order.,4
Utterance, Here is your table.,4
Utterance, Just a moment please...,4
Utterance, Here you are!,4
Utterance, My pleasure. ,3
Utterance, i want orange juice,3
Utterance, Sure. What about food?,3
Utterance, You're welcome. ,3
Utterance," Excuse me, here is your bill... ",3
Utterance, Sweet! What would like to order?,2
Utterance, i want to drink orange juice,2
Utterance, i want to eat salad,2
Utterance, you are great,2
Utterance, Here you are. Enjoy your drink! ,2
Utterance, pizza,2
Utterance,  ,2
Utterance, you're welcome,2
Utterance," Oh, you are already leaving? Ok, just a moment please... ",2
Utterance, see you,2
Utterance, he's putting this food,1
Utterance, when,1
Utterance,drink,1
Utterance, juice,1
Utterance, drink don't sad,1
Utterance, added,1
Utterance, and you juice,1
Utterance, in potato,1
Utterance, i want to mung i want to mango juice,1
Utterance,i want,1
Utterance,  are you,1
Utterance, gumi despair,1
Utterance, god nice to meet you,1
Utterance, salad please thanks,1
Utterance, yes i have,1
Utterance, my name,1
Utterance,  thank you,1
Utterance, oh,1
Utterance,god nice to meet you,1
Utterance, oh okay,1
Utterance, i want to die want to this drink,1
Utterance, island,1
Utterance,i wanted,1
Utterance,please,1
Utterance, brave dave okay,1
Utterance, this beef steak,1
Utterance,i want to,1
Utterance, i want to or that case many,1
Utterance, i went to a soda and i want to beef steak,1
Utterance, do potato,1
Utterance, i want to have a this stuff or,1
Utterance, i want coca cola hi to by do you mean don't be shattered,1
Utterance, bye see you,1
Utterance, he's,1
Utterance, he said yes please,1
Utterance, he couldn't too easy,1
Utterance, yes please,1
Utterance, i want to be the best apple,1
Utterance, yes,1
Utterance, i want,1
Utterance, my name is now,1
Utterance, same que,1
Utterance, your were gone,1
Utterance, i want to eat some food,1
Utterance, show matthew,1
Utterance, can you show me do,1
Utterance, can you show me man,1
Utterance, i want to i our dog,1
Utterance,i want to i saw that,1
Utterance, i would i want to read,1
Utterance, image i want to peace,1
Utterance,i,1
Utterance,i want to potato,1
Utterance, i want to potato,1
Utterance, i wanted coca cola,1
Utterance, i do,1
Utterance, my name is good busy eating,1
Utterance, i went to cook a coot our one and i want to sever that breeze,1
Utterance, i want to coca cola and sour the police,1
Utterance, orange juice,1
Utterance, you too,1
Utterance,one more time police,1
Utterance, one my time greece come know you can do it,1
Utterance, my pleasure,1
Utterance, i went to a cake,1
Utterance, my older is coca cola and saga and be state,1
Utterance, salad,1
Utterance, oh range choose police,1
Utterance, and yes okay i one orange juice police,1
Utterance, i like mass,1
Utterance, mon ami,1
Utterance, cable,1
Utterance,  q,1
Utterance, what sports do you write,1
Utterance, what's curious do you right,1
Utterance, what are you coin to go,1
Utterance, what is your friend main,1
Utterance, do you like to great,1
Utterance, i like ice cream,1
Utterance, do you write ice cream,1
Utterance, do you like ice cream,1
Utterance, i like playing tennis,1
Utterance, what sports do you play,1
Utterance, i playing this up pm,1
Utterance, i like brains up piano,1
Utterance, yes yes,1
Utterance, hamburger,1
Utterance, think,1
Utterance, Did you enjoy?,1
Utterance, my name is cause have done a car,1
Utterance, coca cola please,1
Utterance, sign up please,1
Utterance," Yes, May I help you? ",1
Utterance, no program,1
Utterance, Alright! Thank you.,1
Utterance, yes thank you,1
Utterance, q,1
Utterance,  thank you feel,1
Utterance, my pleasure to,1
Utterance, her what is it,1
Utterance, her worth eighty eight,1
Utterance,  home was a play a to,1
Utterance," No worries, you have already paid!",1
Utterance, i like it brings up things,1
Utterance, i am japanese,1
Utterance, he's gone,1
Utterance, have gone on sort of a breeze,1
Utterance, can order some free,1
Utterance, okay i one face take potato an orange juice please,1
Utterance, i won beef steak potatoes an orange juice,1
Utterance, i won orange juice please,1
Utterance, yeah yeah,1
Utterance, can i owed it now,1
Utterance, orange juice and they take place,1
Utterance, oh range juice place,1
Utterance,i want to drink orange juice and i want to eat potato please,1
Utterance, i want to drink orange juice and i want to eat potato please i want to order potato,1
Utterance, potato please,1
Utterance, i want to drink orange juice and i want to put a do so i want to order them,1
Utterance, in them,1
Utterance, i went to eat salad so praise blame game,1
Utterance, i want to it's hello,1
Utterance, i want to for it,1
Utterance, maybe i want to make reservation for your is trying,1
Utterance, what what i can do now,1
Utterance, caroline us you are christian,1
Utterance, the steak breeze,1
Utterance, Sure. Anything to drink?,1
Utterance, according to choose breeze,1
Utterance, cook accord up face,1
Utterance, putting to use it,1
Utterance,   he's up,1
Utterance, town i eat a pizza,1
Utterance, hi ginger now no that way,1
Utterance, Oh really? I'm very glad to hear that.,1
Utterance, Thank you for coming today and hope to see you soon.,1
Utterance, no,1
Utterance, Let see... Would you like smoking or non smoking table?,1
Utterance,  yeah thank you,1
Utterance, okay thank you,1
Utterance, can i show me man,1
Category,Peter Utterance,318
Category,User Utterance,225
Strategy,AB,543
Metric,Value
count,543.0
mean,0.0
std,0.0
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,0.0
