AU,Average,Variance,Std Dev
AU01_R,0.16398335582546109,0.053791035943381575,0.23192894589374044
AU02_R,0.1458839406207827,0.12791245806824753,0.3576485119055405
AU04_R,1.8260143949617635,0.3244988470368329,0.5696480027497971
AU05_R,0.0898110661268556,0.04647227025771576,0.21557428013962093
AU06_R,0.30710751237067024,0.14575941566008702,0.38178451469393965
AU07_R,1.5452654071075125,0.595159018407112,0.7714655004646106
AU09_R,0.10446243814664868,0.06550471658654004,0.2559388922898199
AU10_R,0.13349077822762034,0.1250366306236012,0.35360519032333393
AU12_R,0.06827260458839407,0.022933843330312457,0.15143923973103027
AU14_R,0.0427237966711651,0.025695953840790143,0.16029957529822136
AU15_R,0.4880881691408007,0.5740749042604493,0.7576773087934264
AU17_R,0.7656657669815565,0.5512035049110764,0.7424308081640176
AU20_R,0.3505173189383715,0.4147342205098857,0.6439986184068144
AU23_R,0.20263157894736844,0.15046371440412054,0.38789652538289193
AU25_R,0.6158412055780477,0.3688300571183663,0.6073138044852647
AU26_R,1.145429599640126,1.1508940223767574,1.0727972885763448
AU45_R,0.1893612235717499,0.08239126791337319,0.28703879165257995
AU01_R,0.198573673870334,0.09766548337046546,0.31251477304355624
AU02_R,0.12775638506876227,0.08256026290380925,0.2873330174271819
AU04_R,0.09180550098231828,0.11198673756061554,0.3346441954682847
AU05_R,0.06838703339882123,0.0241373663871496,0.15536204937869993
AU06_R,1.1039803536345776,0.5113651322529698,0.7150979878680751
AU07_R,1.725510805500982,0.5006978427796616,0.7076000584932576
AU09_R,0.07090373280943026,0.015822881279048264,0.12578903481245202
AU10_R,0.41039882121807464,0.24349897630043768,0.4934561543850048
AU12_R,0.3632062868369352,0.15460748150890571,0.3932015787212784
AU14_R,0.10277406679764244,0.05717080569401007,0.23910417330948047
AU15_R,0.3391159135559922,0.2592587977227357,0.5091746239972449
AU17_R,0.7378939096267191,0.48303289894108836,0.6950056826681983
AU20_R,0.16361100196463654,0.08151932202473768,0.28551588751720575
AU23_R,0.1609449901768173,0.08366648744296512,0.289251598859825
AU25_R,0.7304047151277014,0.43122553866905816,0.6566776520249933
AU26_R,0.5844754420432219,0.3806320395815003,0.6169538391010306
AU45_R,0.18823968565815327,0.09273543477765712,0.30452493293268634
AU01_R,0.4379854872149274,0.4000348273039969,0.6324830648357289
AU02_R,0.18160331720801656,0.1930133289347234,0.43933282251013683
