AU,Average,Variance,Std Dev
AU01_R,0.13275232641374374,0.033600263018216364,0.18330374523783294
AU02_R,0.07614531138153185,0.019469812031356643,0.13953426830480262
AU04_R,1.1091481746599856,0.1299681964395599,0.36051102124562
AU05_R,0.05597351467430208,0.014209596147542391,0.11920401061852907
AU06_R,1.6848067287043667,0.24282898160884367,0.492776807093073
AU07_R,2.031471009305655,0.4000112617800765,0.6324644351898978
AU09_R,0.11096993557623477,0.052821006614603795,0.22982821109385984
AU10_R,0.2429778095919828,0.1292976815697081,0.3595798681373974
AU12_R,0.20816392269148176,0.17623869707246953,0.41980792878704604
AU14_R,0.5045669291338583,0.4057455517308457,0.6369815944992804
AU15_R,0.36491052254831785,0.29844526588995246,0.5463014423282739
AU17_R,0.9792054402290622,0.7870704747860037,0.8871699244147108
AU20_R,0.18013242662848963,0.12372798102475738,0.35174988418584785
AU23_R,0.16191839656406587,0.1142796696721864,0.33805276166921994
AU25_R,0.5551682176091625,0.3816975191327332,0.6178167358794461
AU26_R,0.6264495347172513,0.3073422052933745,0.5543845283676074
AU45_R,0.2291982820329277,0.09020730546070667,0.3003453103690928
AU01_R,0.12067637877211237,0.024390484491200546,0.15617453214657168
AU02_R,0.09704994797086368,0.06188442124153815,0.24876579596387072
AU04_R,0.06650884495317379,0.018292698776489227,0.1352505037938463
AU05_R,0.07218002081165452,0.03311960734658988,0.18198793187074214
AU06_R,0.6592091571279917,0.3304883903794037,0.574881196752341
AU07_R,1.3023309053069718,0.34840966035618154,0.5902623656952741
AU09_R,0.06228928199791883,0.011423075043836104,0.10687878668770573
AU10_R,0.117471383975026,0.06851989116403884,0.26176304392339045
AU12_R,0.16735171696149842,0.09423228539267776,0.3069727763054531
AU14_R,0.048137356919875134,0.02338164067557166,0.15291056430335892
AU15_R,0.3119302809573361,0.19226066562084762,0.4384753877024885
AU17_R,0.5813319458896983,0.26435366487169304,0.5141533476227623
AU20_R,0.11204474505723207,0.037547456612142156,0.1937716610140455
AU23_R,0.11756503642039541,0.06458428129643282,0.25413437645551384
AU25_R,0.5641935483870968,0.38802051015096295,0.6229129234098157
AU26_R,0.453636836628512,0.20078890083912895,0.4480947453821892
AU45_R,0.1670395421436004,0.0691734799556466,0.26300851688804033
AU01_R,0.2824678206835331,0.16238129614431596,0.4029656265046883
AU02_R,0.13670217487794054,0.12011944811693744,0.34658252713738674
AU04_R,1.835446071904128,0.14074062020325773,0.3751541285968445
AU05_R,0.05563249001331558,0.011737665942154097,0.10834050923894578
AU06_R,0.591473590767865,0.14644987019478273,0.3826876927662852
AU07_R,1.686387039502885,0.421764382993585,0.6494338942445066
AU09_R,0.09396804260985353,0.033024212122143834,0.18172565069946464
AU10_R,0.2059964491788726,0.08593121135505924,0.2931402588438839
AU12_R,0.1642121615623613,0.02093753400833623,0.14469807879974161
AU14_R,0.02459387483355526,0.019731595646302266,0.14046919821192924
AU15_R,0.24173546382600977,0.14687980210321505,0.3832490079611623
AU17_R,0.5470838881491344,0.21819571098807275,0.46711423762081233
AU20_R,0.14711051930758987,0.04740048378361119,0.2177165216137976
AU23_R,0.17963604083444298,0.11286150157792373,0.3359486591399402
AU25_R,0.7036662228140258,0.32942927042609066,0.5739592933528394
AU26_R,0.5307367953839325,0.3490276096446104,0.5907855868626201
AU45_R,0.18916555703506438,0.09179734957692093,0.3029807742694591
AU01_R,0.426046908315565,0.3953163203242685,0.6287418550758876
AU02_R,0.12858848614072496,0.11135359551583865,0.33369686171110247
AU04_R,0.7539616204690831,0.12341113333866989,0.3512992077114178
AU05_R,0.05500639658848615,0.014799498679202718,0.12165319017273125
AU06_R,1.4190746268656718,0.09220942488920585,0.3036600482269702
AU07_R,2.680618336886994,0.3085337045270964,0.5554581033049175
AU09_R,0.11362899786780385,0.03827381281064206,0.19563694132408138
AU10_R,0.300865671641791,0.09687634073659009,0.3112496437533545
AU12_R,0.021189765458422178,0.013663131635823807,0.11688939915930703
AU14_R,0.011381663113006396,0.009530684049280655,0.09762522240323274
AU15_R,0.32878464818763325,0.2563780018120029,0.5063378336762945
AU17_R,0.8044733475479744,0.3179098014437806,0.5638349061948724
AU20_R,0.1255266524520256,0.048583265607603135,0.22041611921001408
AU23_R,0.10832835820895523,0.04596162421679996,0.21438662322262544
AU25_R,0.49519829424307027,0.37915841842712333,0.6157584091404058
AU26_R,0.5062345415778251,0.3559912333626844,0.5966500091030623
AU45_R,0.2497484008528785,0.1259399963978256,0.35488025642155074
AU01_R,0.12993197278911567,0.03722963645854381,0.19294982886373288
AU02_R,0.06695114409400123,0.013562542784890738,0.1164583306805088
AU04_R,0.34128014842300564,0.06019866961185914,0.24535417178409488
AU05_R,0.062189239332096476,0.022443224067304687,0.14981062735101502
AU06_R,0.8587940630797775,0.2700972453112658,0.5197088081909578
AU07_R,0.34287569573283855,0.0809885693161153,0.2845849070420202
AU09_R,0.07885590599876313,0.02441236598149611,0.15624457104647224
AU10_R,0.1994124922696351,0.08824340462107434,0.29705791459086617
AU12_R,0.24628324056895487,0.11985406081424468,0.3461994523598278
AU14_R,0.1430674087816945,0.04555803567601658,0.21344328444815636
AU15_R,0.19915275200989485,0.07597954162763215,0.2756438673862202
AU17_R,0.6143228200371058,0.23585475463362665,0.48564879762398944
AU20_R,0.11600494743351886,0.032889475223032504,0.18135455666465208
AU23_R,0.12232529375386517,0.04923914411849348,0.22189895024198172
AU25_R,0.5812430426716141,0.35208836725509285,0.5933703457833841
