Type,Value,Count
Utterance,Awesome!,178
Utterance,Take it easy,111
Utterance,I can understand how you feel...,59
Utterance,"(Come on, you can do it...)",44
Utterance, thank you,38
Utterance, My pleasure! ,32
Utterance, ,31
Utterance,Great!,24
Utterance, I've got it. Thank you for your order.,23
Utterance, Here you are. Enjoy your meal! ,18
Utterance, And this is the menu. Please call me when you are ready to order.,17
Utterance," Excuse me, here is your bill... ",14
Utterance, Here is your table.,14
Utterance, Oh really? I'm very glad to hear that.,12
Utterance, May I have your name please?,12
Utterance, Sure! Please come this way.,12
Utterance, You are welcome! ,12
Utterance, Sure. What about food?,11
Utterance, Did you enjoy?,11
Utterance, Thank you for coming today and hope to see you soon.,10
Utterance, okay,10
Utterance,Please come again,9
Utterance," Oh, you are already leaving? Ok, just a moment please... ",8
Utterance, Just a moment please...,7
Utterance, Here you are!,7
Utterance, Thank you. It's good to hear that.,7
Utterance, yes,6
Utterance,"Good evening, did you book a table?",5
Utterance,Could you say that again?,5
Utterance, Here you are. Enjoy your drink! ,5
Utterance," Alright, thank you. ",5
Utterance, Sure. Anything to drink?,5
Utterance,Could you say that again slowly?,4
Utterance, Sweet! What would like to order?,4
Utterance,  ,4
Utterance,Please repeat that...,4
Utterance,Could you simplify it for me?,4
Utterance," Yes, how can I help you? ",4
Utterance, no thank you,4
Utterance, see you,4
Utterance,Very sorry but It is  time for last orders. Would you have anything else?,4
Utterance, Let see... Would you like smoking or non smoking table?,4
Utterance,More drink? more food?,4
Utterance, pizza,3
Utterance, i want orange juice,3
Utterance,"Sorry I'm a bit lost, I don't understand...",3
Utterance, coca cola please,3
Utterance, yeah,3
Utterance, My pleasure. ,3
Utterance, Alright! Let me guide you to your table then.,3
Utterance, You're welcome. ,3
Utterance, Sorry but you have to order at least one drink! ,2
Utterance, you are great,2
Utterance, you're welcome,2
Utterance, no,2
Utterance, peter,2
Utterance, good bye see you,2
Utterance," That's alright, thank you. ",2
Utterance, hamburger,2
Utterance,We are ending this dialogue for now...,2
Utterance, do,2
Utterance,  yes,2
Utterance, q,2
Utterance," No worries, you have already paid!",2
Utterance, i want to eat salad,2
Utterance, i want to drink orange juice,2
Utterance,"This is embarrasing, I still can't get you...",2
Utterance,"Pardon me, could you clarify what you mean?",2
Utterance, potato,1
Utterance, thanks,1
Utterance, he's putting this food,1
Utterance, added,1
Utterance, i want to mung i want to mango juice,1
Utterance,i want,1
Utterance, and you juice,1
Utterance, juice,1
Utterance, drink don't sad,1
Utterance, dave be is delicious,1
Utterance, a thoroughly can you ah junior your brain ah couple water,1
Utterance, do potato,1
Utterance,drink,1
Utterance, how much a each,1
Utterance, when,1
Utterance, yeah i have about is,1
Utterance, couldn't my name is other tv know,1
Utterance, a coca cola on both sara sara the under potato,1
Utterance, gumi despair,1
Utterance, please coca cola,1
Utterance, please for the under potato,1
Utterance, i want to die want to this drink,1
Utterance, i it so hi i don't thank dude,1
Utterance, in potato,1
Utterance, also i would you like chicago don't oh i want the always years i say week,1
Utterance, i would you i would you like orange juice i feed each,1
Utterance, mango juice,1
Utterance, can i order is a potato,1
Utterance, brain tissues and sort other,1
Utterance, can i order some schools,1
Utterance, oh yeah japanese,1
Utterance, count my older older tissues,1
Utterance, can i order order and issues,1
Utterance, sarah,1
Utterance, i guess,1
Utterance, or and teachers priests,1
Utterance, using,1
Utterance,  i've gotten,1
Utterance, the city,1
Utterance, peace out for you,1
Utterance, can i see so be,1
Utterance, well cool cool,1
Utterance, yes my name is worker,1
Utterance, i wanted coca cola,1
Utterance, i would you ride beef steak,1
Utterance, i want to potato,1
Utterance, i have always you,1
Utterance,i want to potato,1
Utterance,also i would you like chicago don't,1
Utterance,i,1
Utterance, i want,1
Utterance,  are you,1
Utterance, i want coca cola hi to by do you mean don't be shattered,1
Utterance, no it is okay,1
Utterance, please call ease orange juice and have been mistake,1
Utterance, fifa on a boat sort of for pretty,1
Utterance, sarah that pretty,1
Utterance, follow that for days,1
Utterance, stay on some other pretty,1
Utterance, that is being spent on the forever,1
Utterance, but is being a stay on the hook it up,1
Utterance, i would do like nonsmoking smoking the table,1
Utterance, peace out pretty,1
Utterance, hundred tonight nonsmoking the table,1
Utterance, the people because cleaver,1
Utterance," Good evening, did you book a table?",1
Utterance, hello,1
Utterance,"Nihongo wa muzukashii kedo, chotto dake ganbaru",1
Utterance,Did you call us before coming?,1
Utterance, up pretty,1
Utterance, the them potato police,1
Utterance, i enjoy thank you,1
Utterance, my name is now,1
Utterance, can you show me man,1
Utterance, can you show me do,1
Utterance, show matthew,1
Utterance, i want to eat some food,1
Utterance, your were gone,1
Utterance, same que,1
Utterance, i want to have a this stuff or,1
Utterance, no so,1
Utterance, i want to be the best apple,1
Utterance, yes please,1
Utterance, he couldn't too easy,1
Utterance, he said yes please,1
Utterance, he's,1
Utterance, yes i enjoy,1
Utterance,"(Take it easy, you're doing great...)",1
Utterance,"Sorry, please help me understand you...",1
Utterance, yes of course,1
Utterance, one my time greece come know you can do it,1
Utterance,i want to i saw that,1
Utterance, i would i want to read,1
Utterance, image i want to peace,1
Utterance, my older is coca cola and saga and be state,1
Utterance, i went to a cake,1
Utterance, my pleasure,1
Utterance,one more time police,1
Utterance, more orange juice breeds,1
Utterance, you too,1
Utterance, i went to a soda and i want to beef steak,1
Utterance, i want to coca cola and sour the police,1
Utterance, i went to cook a coot our one and i want to sever that breeze,1
Utterance, my name is good busy eating,1
Utterance, i do,1
Utterance, i want to i our dog,1
Utterance, this beef steak,1
Utterance, bye see you,1
Utterance, the,1
Utterance,  no,1
Utterance, yeah i like non smoking thing,1
Utterance, bought a soda,1
Utterance, dick,1
Utterance, the beef steak,1
Utterance,thank you,1
Utterance, i'd i'd do beef steak,1
Utterance, the air,1
Utterance, don't despair,1
Utterance, yes i did,1
Utterance, one is my name is ruby their on issue,1
Utterance, excuse me please orange juice and salary pathetic,1
Utterance, beef steak,1
Utterance,i want to,1
Utterance, can i owed it now,1
Utterance, brave dave okay,1
Utterance, i like mass,1
Utterance,  q,1
Utterance, what sports do you write,1
Utterance, what's curious do you right,1
Utterance, what are you coin to go,1
Utterance, what is your friend main,1
Utterance, do you like to great,1
Utterance, i like ice cream,1
Utterance, do you write ice cream,1
Utterance, do you like ice cream,1
Utterance, i like playing tennis,1
Utterance, what sports do you play,1
Utterance, i playing this up pm,1
Utterance, i like brains up piano,1
Utterance, i like it brings up things,1
Utterance, i am japanese,1
Utterance,please,1
Utterance, have gone on sort of a breeze,1
Utterance, the steak breeze,1
Utterance, according to choose breeze,1
Utterance, cook accord up face,1
Utterance, putting to use it,1
Utterance,   he's up,1
Utterance, caroline us you are christian,1
Utterance, town i eat a pizza,1
Utterance, no i don't have a reservation,1
Utterance, place non smoking table,1
Utterance, blaze orange juice,1
Utterance, i want to eat beef steak and potato,1
Utterance, after eating how can i pay money,1
Utterance, yes i do,1
Utterance, cable,1
Utterance, mon ami,1
Utterance, yes yes,1
Utterance, fine,1
Utterance, my name is cause have done a car,1
Utterance, sign up please,1
Utterance," Yes, May I help you? ",1
Utterance, no program,1
Utterance, Alright! Thank you.,1
Utterance, yes thank you,1
Utterance,  thank you feel,1
Utterance, my pleasure to,1
Utterance, her what is it,1
Utterance, her worth eighty eight,1
Utterance,  home was a play a to,1
Utterance, think,1
Utterance, i am really care about issue,1
Utterance, group be tehran issue,1
Utterance, my name is ruby,1
Utterance, excuse me i'd like to order,1
Utterance, coca cola beef steak and solid police,1
Utterance, i'd like to order orange juice,1
Utterance, i played ball so back to my home,1
Utterance, i'll come here again,1
Utterance, oh thank you,1
Utterance, where is your last order restorative,1
Utterance," So Sorry, we just took last orders.",1
Utterance, thank you so much good boy,1
Utterance, good bye,1
Utterance, what should i say,1
Utterance, go yes thank you,1
Utterance,by,1
Utterance, bye good boy,1
Utterance,  oh haven't decided yet could you put he could you wait please,1
Utterance, what happened,1
Utterance, i haven't decided yet,1
Utterance, i want to for it,1
Utterance, okay i one face take potato an orange juice please,1
Utterance, i won beef steak potatoes an orange juice,1
Utterance, i won orange juice please,1
Utterance, oh range choose police,1
Utterance, yeah yeah,1
Utterance, orange juice and they take place,1
Utterance, oh range juice place,1
Utterance,i want to drink orange juice and i want to eat potato please,1
Utterance, i want to drink orange juice and i want to eat potato please i want to order potato,1
Utterance, potato please,1
Utterance, i want to drink orange juice and i want to put a do so i want to order them,1
Utterance, in them,1
Utterance, i went to eat salad so praise blame game,1
Utterance, i want to it's hello,1
Utterance, he's gone,1
Utterance, and yes okay i one orange juice police,1
Utterance, orange juice,1
Utterance, salad,1
Utterance, salad please thanks,1
Utterance, yes i have,1
Utterance, my name,1
Utterance,  thank you,1
Utterance, oh,1
Utterance,god nice to meet you,1
Utterance, god nice to meet you,1
Utterance, oh okay,1
Utterance, island,1
Utterance,i wanted,1
Utterance, i want to or that case many,1
Utterance, can order some free,1
Utterance, maybe i want to make reservation for your is trying,1
Utterance, my name is walker,1
Utterance, what what i can do now,1
Utterance, i would you like followed i'm beef steak and drinks ah i night coca cola,1
Utterance, this tower the eighth grade,1
Utterance, thank you days were delicious how much you think,1
Utterance, how much is,1
Utterance, yeah i enjoyed this man,1
Utterance, for i do,1
Utterance, my name me get out his unique,1
Utterance, my name is he city,1
Utterance, and when i went to our coca cola and,1
Utterance, i want to put that potato i went to pizza,1
Utterance, by,1
Utterance,Was it a good time?,1
Utterance, have next day,1
Utterance, my name is cause her pentagon,1
Utterance, cora played,1
Utterance, solid reads,1
Utterance, turn out great,1
Utterance, beef steak great,1
Utterance, how much he is it,1
Utterance, oh mercy is this menu,1
Utterance, and your thank you,1
Utterance, she you,1
Utterance, oh we're a bit,1
Utterance, i will pay the main use their,1
Utterance, oh i see,1
Utterance, i enjoy to serve list than thank you,1
Utterance,  yeah thank you,1
Utterance, okay thank you,1
Utterance, hi ginger now no that way,1
Utterance, can i show me man,1
Category,Peter Utterance,742
Category,User Utterance,438
Strategy,AB,543
Strategy,AB+CS,424
Strategy,CS,213
Metric,Value
count,1180.0
mean,0.0
std,0.0
min,0.0
25%,0.0
50%,0.0
75%,0.0
max,0.0
