AU,Average,Variance,Std Dev
AU01_R,0.16398335582546109,0.053791035943381575,0.23192894589374044
AU02_R,0.1458839406207827,0.12791245806824753,0.3576485119055405
AU04_R,1.8260143949617635,0.3244988470368329,0.5696480027497971
AU05_R,0.0898110661268556,0.04647227025771576,0.21557428013962093
AU06_R,0.30710751237067024,0.14575941566008702,0.38178451469393965
AU07_R,1.5452654071075125,0.595159018407112,0.7714655004646106
AU09_R,0.10446243814664868,0.06550471658654004,0.2559388922898199
AU10_R,0.13349077822762034,0.1250366306236012,0.35360519032333393
AU12_R,0.06827260458839407,0.022933843330312457,0.15143923973103027
AU14_R,0.0427237966711651,0.025695953840790143,0.16029957529822136
AU15_R,0.4880881691408007,0.5740749042604493,0.7576773087934264
AU17_R,0.7656657669815565,0.5512035049110764,0.7424308081640176
AU20_R,0.3505173189383715,0.4147342205098857,0.6439986184068144
AU23_R,0.20263157894736844,0.15046371440412054,0.38789652538289193
AU25_R,0.6158412055780477,0.3688300571183663,0.6073138044852647
AU26_R,1.145429599640126,1.1508940223767574,1.0727972885763448
AU45_R,0.1893612235717499,0.08239126791337319,0.28703879165257995
AU01_R,0.13275232641374374,0.033600263018216364,0.18330374523783294
AU02_R,0.07614531138153185,0.019469812031356643,0.13953426830480262
AU04_R,1.1091481746599856,0.1299681964395599,0.36051102124562
AU05_R,0.05597351467430208,0.014209596147542391,0.11920401061852907
AU06_R,1.6848067287043667,0.24282898160884367,0.492776807093073
AU07_R,2.031471009305655,0.4000112617800765,0.6324644351898978
AU09_R,0.11096993557623477,0.052821006614603795,0.22982821109385984
AU10_R,0.2429778095919828,0.1292976815697081,0.3595798681373974
AU12_R,0.20816392269148176,0.17623869707246953,0.41980792878704604
AU14_R,0.5045669291338583,0.4057455517308457,0.6369815944992804
AU15_R,0.36491052254831785,0.29844526588995246,0.5463014423282739
AU17_R,0.9792054402290622,0.7870704747860037,0.8871699244147108
AU20_R,0.18013242662848963,0.12372798102475738,0.35174988418584785
AU23_R,0.16191839656406587,0.1142796696721864,0.33805276166921994
AU25_R,0.5551682176091625,0.3816975191327332,0.6178167358794461
AU26_R,0.6264495347172513,0.3073422052933745,0.5543845283676074
AU45_R,0.2291982820329277,0.09020730546070667,0.3003453103690928
AU01_R,0.12067637877211237,0.024390484491200546,0.15617453214657168
AU02_R,0.09704994797086368,0.06188442124153815,0.24876579596387072
